uuid,document_id,timestamp,platform,geo_location,traffic_source
7d55cf1528df26,25792,35625336,1,FR>A8,1
2fecf7e95a3d09,25792,58201341,2,US>CA>807,2
dfc05593ab6179,25792,45181369,1,US>FL>571,1
5efbf226d2783b,25792,65809632,1,US>IL>648,1
1b28a4df854c07,25792,39098600,1,US>MA>521,1
919fa3ac960d0f,25792,47057469,1,US>TN>557,1
455c3813798042,25792,60424999,1,US>NY>501,1
51446a7cf3326a,25792,40494282,1,US>NY>501,2
1aef3e1423ed51,25792,45542572,1,US>MD>511,1
4d3f2354497d2d,25792,43065563,1,US>NY>501,1
ae953e89e32a28,25792,35709064,1,US>MI>505,1
48e811133cef9f,25792,30366760,1,AU>07,2
3d9db88d844475,25792,31881512,1,US>FL>539,1
c2e0f86692b17e,25792,51586541,1,US>NY>501,1
9693338d6b3993,25792,34240718,1,US>NY>501,2
de7d874a8561e3,25792,31674100,1,US>PA>508,1
6f92f41e87e619,25792,5576807,1,US>RI>521,1
6643446bd359ee,25792,73951443,1,US>FL>548,2
5e801669eb1744,25792,55013195,1,US>TX,1
867ed30fcfd73e,25792,36910739,1,US>IN>527,1
5052e21599c6a2,25792,76028927,1,US>IN>527,1
651761f7af39e9,25792,34404701,1,US>CA>855,1
231e2134c47278,25792,36657214,1,US>NY>555,1
34157d8e4e1283,25792,24494259,1,US>MA>506,1
9ef7342f36dc9d,25792,38687961,3,US>CT>501,1
6add5ede9cc086,25792,18732855,1,SG>00,1
f48c4230427aa2,25792,35713036,1,CA>QC,1
d1d60911b82605,25792,33056999,1,US>TX>641,1
d6d058fcff7253,25792,58791868,1,US>CA>803,1
6b0d7a2ad4f9c8,25792,4453114,1,US>TX>635,1
56e65e3f6586e2,25792,53957649,1,US>CA>803,1
e946d8a81e903c,25792,79373525,3,US>GA>524,1
b5fcd7b8b0740a,25792,14548485,3,US>MA>506,1
be9bc6bfc6d37d,25792,53679773,1,US>OH>510,1
f915a56675edb5,25792,37122604,1,US>MI>563,1
fc8cf3b5c805de,25792,30875259,1,AU>04,1
d6e7cd242c19d1,25792,36857443,1,US>PA>566,1
a2e98e13b0ab51,25792,49765941,1,US>MI>505,1
5a90782e510ed9,25792,49846535,3,US>MN>613,1
860ccb2b27879a,25792,81180014,3,US>GA>561,1
d023ebec4a0754,25792,44988705,1,US>IL>602,2
23ca0bc6079dcc,25792,55927157,1,US>MA>506,1
b24151f5a431af,25792,38078663,1,TH>40,2
1136f6a7c7384c,25792,34938352,1,US>SC>546,1
e1819ef52cffe2,25792,30831518,3,US>PA>504,1
a68f0752354e93,25792,39933400,1,US>OH>547,1
bc3c38c115351f,25792,45719486,3,US>NJ>504,2
33c067f4dedabf,25792,19113562,1,US>TX>618,1
a5596a6f97b11d,25792,51334590,3,VN>44,1
18a840b054ac1b,25792,37884972,1,US>KS>616,1
b9cbc42ccb08f0,25792,51425693,1,FI>13,1
ab97e54aa84172,25792,46684765,1,US>MA>506,1
3e2b1c0f8ef860,25792,53500618,1,US>NY>501,1
6f7297122ce32a,25792,78554197,1,US>SC>519,1
f05328b2283b90,25792,36869846,3,US>CT>501,2
e33f5532ace030,25792,51759220,3,US>OR>820,2
e759f41c82540d,25792,41317048,1,US>OH>510,2
d36e172dce9d04,25792,38256073,3,US>NC>560,1
8de85679b8c9cc,25792,56565423,3,US>NY>538,1
bc33549fbdb809,25792,68544433,1,US>WI>702,1
be1cf0387a8e88,25792,44924897,1,US>IL>717,1
5549e69d233b63,25792,35366554,1,US>AL>522,2
3306623efa52fc,25792,27624729,1,US>FL>539,1
99502fe80c6df2,25792,52480500,1,US>FL>528,1
47e1dbdcd1507a,25792,48073500,1,US>IL>602,1
76a1d6bb64e72d,25792,65465582,1,US>VA>544,1
581ca151f0f805,25792,36571695,3,CA>QC,1
ab3001deebd099,25792,36881750,1,US>MT>755,1
7ff3bbfa887f71,25792,48239210,1,US>MS>710,1
56e4cbc48702af,25792,43446892,1,US>CA,1
456f5a9e2344a8,25792,55281908,1,US>OH>554,1
f22a590cc25a14,25792,34090687,1,US>OH>510,1
2cc8beea643ede,25792,39612381,1,US>TX>618,1
8e549995c629fb,25792,1157751,1,US>MN>702,1
8718ccc70bbbb7,25792,78493619,1,TH>40,1
d7ce91d2f98c4e,25792,74550804,1,US>CA>803,2
67f2353e53bf37,25792,25443319,1,US>VA>573,1
37d876b01266fe,25792,73652453,3,US>WI>705,2
15cc25b4980370,25792,46454099,1,US>WA>819,1
be5393802bd33e,25792,57058608,1,GB>D7,1
922ff48bfb357f,25792,37540536,1,US>NY>501,1
63accc92c3ac19,25792,68228013,1,US>OH>535,2
5a98e8db409370,25792,43099676,1,US>IL>610,1
4f86873bbeb25e,25792,35115438,1,US>PA>508,1
4b098d1dcd46fa,25792,59037504,1,US>IL>602,1
64ad4d381677d7,25792,28299351,1,US>GA>524,1
f7bcfdff6e9e98,25792,34708636,1,US>NY>501,2
7393b781126f5a,25792,47980871,1,US>IL>602,1
ed05c14f08d98e,25792,38874763,1,US>PA>508,1
f3d11ae0823ee2,25792,51890084,3,US>CA>862,1
aa834e55e64ee9,25792,45184399,1,US>ND>687,1
5006f581a47831,25792,68450175,1,US>IN>527,1
fe6a0bcee23bc2,25792,76153219,1,US>PA>504,2
27591ac24ae51d,25792,61109583,1,US>CA>862,1
fe91487b41552c,25792,31818595,1,US>FL>539,1
b77dbdb109bc59,25792,57304480,1,US>CT>533,1
96e7fda8200aed,25792,65741573,1,US>NY>538,1
e36e6f0755358f,25792,43037825,1,US>NJ>501,1
2a866b056937a1,25792,60416032,1,US>MD>512,1
33df73c276d1ef,25792,48372201,1,CA>AB,1
ce6ba138954bda,25792,52926164,1,US>FL>528,1
c80c56aef73571,25792,34501044,1,US>NY>501,1
6b61725c087460,25792,81537760,3,US>NY>501,1
13a3a7ee627430,25792,49912317,1,US>OK>627,1
3e37b4389e0cb4,25792,38907299,1,US>MA>506,2
b99cc6b35aa600,25792,59627682,3,US>CA>807,2
5cb2a6e917a76f,25792,64939027,1,US>NY>555,1
7515a8cafb3327,25792,43682889,1,US>NY>532,1
7ac2d0af1e4bd9,25792,17896968,3,US>FL>539,1
c82aa0b246fce9,25792,41518108,1,US>IL>632,1
740b1d1f451e0f,25792,58355447,1,US>OH>535,1
6c7c922d2fe4bb,25792,44223723,1,US>KY>529,1
4a77e05c25b403,25792,38686426,3,US>CA>813,2
f9f81908a8b729,25792,40779219,1,US>NE>652,1
2f263bcb1e4349,25792,55808381,1,US>VA>544,2
726de503fdba2a,25792,73827524,1,US>FL>534,2
fcd37702e943ee,25792,42621227,1,US>FL>534,1
991d30a2d3eb58,25792,73270007,3,US>AL>698,1
