,image_file_name,color,style,part,season,category
0,jean_0001.jpg,blue,casual,bottom,winter,jean
1,jean_0002.jpg,white,casual,bottom,winter,jean
2,jean_0003.jpg,navy,casual,bottom,winter,jean
3,jean_0004.jpg,navy,casual,bottom,winter,jean
4,jean_0005.jpg,blue,casual,bottom,winter,jean
5,jean_0006.jpg,blue,casual,bottom,winter,jean
6,jean_0007.jpg,navy,casual,bottom,winter,jean
7,jean_0008.jpg,white,casual,bottom,winter,jean
8,jean_0009.jpg,blue,casual,bottom,winter,jean
9,jean_0010.jpg,blue,casual,bottom,winter,jean
10,jean_0011.jpg,skyblue,casual,bottom,winter,jean
11,jean_0012.jpg,black,casual,bottom,winter,jean
12,jean_0013.jpg,black,casual,bottom,winter,jean
13,jean_0014.jpg,blue,casual,bottom,winter,jean
14,jean_0015.jpg,blue,casual,bottom,winter,jean
15,jean_0016.jpg,skyblue,casual,bottom,winter,jean
16,jean_0017.jpg,blue,casual,bottom,winter,jean
17,jean_0018.jpg,blue,casual,bottom,winter,jean
18,jean_0019.jpg,blue,casual,bottom,winter,jean
19,jean_0020.jpg,blue,casual,bottom,winter,jean
20,jean_0021.jpg,blue,casual,bottom,winter,jean
21,jean_0022.jpg,pink,casual,bottom,winter,jean
22,jean_0023.jpg,gray,casual,bottom,winter,jean
23,jean_0024.jpg,beige,casual,bottom,winter,jean
24,jean_0025.jpg,yellow,casual,bottom,winter,jean
25,jean_0026.jpg,yellow,casual,bottom,winter,jean
26,jean_0027.jpg,beige,casual,bottom,winter,jean
27,jean_0028.jpg,brown,casual,bottom,winter,jean
28,jean_0029.jpg,white,casual,bottom,winter,jean
29,jean_0030.jpg,white,casual,bottom,winter,jean
30,jean_0031.jpg,dark_beige,casual,bottom,winter,jean
31,jean_0032.jpg,khaki,casual,bottom,winter,jean
32,jean_0033.jpg,khaki,casual,bottom,winter,jean
33,jean_0034.jpg,white,casual,bottom,winter,jean
34,jean_0035.jpg,white,casual,bottom,winter,jean
35,jean_0036.jpg,khaki,casual,bottom,winter,jean
36,jean_0037.jpg,khaki,casual,bottom,winter,jean
37,jean_0038.jpg,black,casual,bottom,winter,jean
